z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Sharpe,Drawdown
Muito Caro (>2.5),33,-0.5810703350343435,-1.4051592157481083,0.0625414421154106,25.0,-9.290964616247624,-0.643611777149754
Muito Barato (<-2.5),7,3.0161607497877823,-0.1588613742167011,0.1034042850840361,42.85714285714285,29.168624087173377,2.912756464703746
Barato (-2.5 a -1.5),84,1.325122004782892,1.0608416837371903,0.0801414013379002,59.523809523809526,16.53479931878132,1.2449806034449917
Leve Desc (-1.5 a -0.5),132,4.361156637039733,4.772900968697302,0.108706082166401,59.84848484848485,40.11879105573077,4.252450554873332
Neutro,144,0.7353103156573202,0.8325743709215461,0.1157201232363011,53.47222222222222,6.354212981622909,0.6195901924210191
Leve Premio (0.5 a 1.5),295,2.9112456308969006,3.403240429028376,0.1157531060777409,64.0677966101695,25.15047504462822,2.7954925248191596
Caro (1.5 a 2.5),203,3.666951664016907,3.966173289652741,0.1144378135899505,56.36363636363636,32.0431815056605,3.552513850426956
Muito Caro (>2.5),39,4.087914667844315,3.700626428452303,0.0835228109241011,66.66666666666666,48.94369063578806,4.004391856920213
Muito Barato (<-2.5),4,1.7109151572224397,0.2661583461686267,0.0466218410087077,50.0,36.69771685346296,1.6642933162137319
Barato (-2.5 a -1.5),20,10.835172481514483,10.319666744453782,0.1119747701136389,70.0,96.76440839087121,10.723197711400845
Leve Desc (-1.5 a -0.5),44,7.863712145698315,10.730013469924238,0.1091702119050895,75.0,72.03166446634006,7.7545419337932255
Neutro,116,6.6985175322284745,7.380162841596938,0.0853968680861912,79.3103448275862,78.43984918776881,6.613120664142283
Leve Premio (0.5 a 1.5),288,4.39495879461024,4.910685880041221,0.0998644558418212,69.09722222222221,44.00923945915581,4.295094338768418
Caro (1.5 a 2.5),384,3.6896432445913807,4.009258025574924,0.0849559232800913,65.5940594059406,43.43008772910281,3.6046873213112893
Muito Caro (>2.5),48,1.6640900591489376,1.7268815938509152,0.0787715279723563,62.5,21.12552696206932,1.5853185311765814
Muito Barato (<-2.5),22,-1.2786377893288787,-1.550475786250538,0.129202162550897,50.0,-9.896411593952767,-1.4078399518797757
Barato (-2.5 a -1.5),121,4.19781101733405,2.5761293755016235,0.1190378580559718,57.02479338842975,35.26450366820049,4.078773159278079
Leve Desc (-1.5 a -0.5),188,-4.502211518889183,-3.725564117079944,0.1431604533833429,38.297872340425535,-31.448709340035645,-4.645371972272526
Neutro,123,-6.303367730619233,-5.8902209031650665,0.0911341657158727,24.390243902439025,-69.16580200125301,-6.394501896335106
Leve Premio (0.5 a 1.5),242,9.698043653246016,10.679882836208089,0.1377996381064412,74.3801652892562,70.37785959479119,9.560244015139574
