z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate
Muito Caro (>2.5),30,3.110855800353816,2.03961866447232,0.0282102992308233,74.28571428571429
Muito Barato (<-2.5),9,4.739098713511398,2.626893039349132,0.0641287064356423,77.77777777777779
Barato (-2.5 a -1.5),237,1.0911336868825643,-0.2088390772654769,0.0785904744608789,48.52320675105485
Leve Desc (-1.5 a -0.5),379,-1.1415203958873723,-1.5463963770208755,0.0736812410710699,36.71875
Neutro,159,-2.7747474123082165,-3.3773865052282304,0.0603087836078443,26.41509433962264
Leve Premio (0.5 a 1.5),74,-0.4421743175268509,-2.601256615280839,0.0792509757035152,37.83783783783784
Caro (1.5 a 2.5),56,0.194338626353783,-2.2203083606373357,0.0866535436560769,39.285714285714285
Muito Caro (>2.5),5,0.4344679795094475,-2.137039248810013,0.074805450608072,40.0
Muito Barato (<-2.5),6,1.10114997485933,0.9299801098141324,0.0296628352891227,50.0
Barato (-2.5 a -1.5),37,1.5315518291845611,1.1594447321898738,0.0295885410166888,72.97297297297297
Leve Desc (-1.5 a -0.5),103,1.6920785817902535,0.9540251522477172,0.0386879628996181,60.19417475728155
Neutro,116,1.1294189241152703,1.4396039903417313,0.0374911668519069,60.3448275862069
Leve Premio (0.5 a 1.5),341,0.4068411854006085,0.4071790419296395,0.035212186497811,54.04624277456648
Caro (1.5 a 2.5),268,-0.3066754635778194,-0.3712000650153924,0.0351847815958296,44.776119402985074
Muito Caro (>2.5),48,-0.3197271706767526,-0.0359288998582341,0.0370704366099507,50.0
Muito Barato (<-2.5),7,1.920184663195585,1.2552239465614123,0.0896937257428297,57.14285714285714
Barato (-2.5 a -1.5),55,-1.2996039536524489,-1.675960440412838,0.0508391314947994,34.54545454545455
Leve Desc (-1.5 a -0.5),279,0.4756731148348404,0.7281642593456539,0.054397056515375,53.04659498207885
Neutro,245,0.4620586604085733,-0.1923047693565327,0.0549511991899563,48.16326530612245
Leve Premio (0.5 a 1.5),206,0.4006812400317882,0.6072317592609622,0.0547982539032472,53.08056872037915
Caro (1.5 a 2.5),77,-1.1100871744037275,-2.1978008594465197,0.0597447851711703,33.76623376623377
Muito Caro (>2.5),50,4.363012643250836,2.889779662438763,0.0632302993186861,70.0
Muito Barato (<-2.5),6,1.9222986161835764,0.2642978396398043,0.0722914321833405,50.0
Barato (-2.5 a -1.5),104,0.8474174254020618,-1.4634487291785736,0.0784391975585137,43.26923076923077
Leve Desc (-1.5 a -0.5),242,-1.7550179140874054,-2.144910920416004,0.063747597819745,38.4297520661157
Neutro,133,0.0772450116541015,0.0,0.0715036088198177,49.62406015037594
Leve Premio (0.5 a 1.5),221,1.7922984878306163,1.7730479964511048,0.0619149494095569,58.82352941176471
Caro (1.5 a 2.5),187,1.185801239837686,1.567400525509255,0.0649314804564445,54.16666666666666
Muito Caro (>2.5),26,2.684579003114384,3.956849318695854,0.0598133474228026,76.92307692307693
Muito Barato (<-2.5),4,1.4470059335238927,2.558376129903084,0.0344249016581702,75.0
Barato (-2.5 a -1.5),73,1.1495642067718328,0.8557859407061885,0.0282672966145305,60.273972602739725
Leve Desc (-1.5 a -0.5),210,-0.0418561081249242,-0.1078620193032897,0.0260745139624215,47.61904761904761
Neutro,160,0.1486554155479924,0.1941326856631064,0.0323586608236596,51.87500000000001
Leve Premio (0.5 a 1.5),244,0.5495432438868462,0.5995224657450504,0.031635275014416,59.83606557377049
Caro (1.5 a 2.5),190,0.224061191761484,0.0551657866440735,0.0293591935167899,50.25906735751296
Muito Caro (>2.5),38,1.087837769952435,0.968978380475205,0.021963987719417,62.5
Muito Barato (<-2.5),13,2.720321846596609,1.724127831938116,0.0279330982187982,100.0
Barato (-2.5 a -1.5),67,1.0415334209518716,0.2234688065911205,0.0344088748564346,52.23880597014925
Leve Desc (-1.5 a -0.5),130,0.0772226985349596,0.279574433826335,0.0301312813451044,50.76923076923077
Neutro,129,0.4413945661483134,-0.4016031801265085,0.0371735043466052,44.96124031007752
Leve Premio (0.5 a 1.5),303,0.659745949624163,0.3894095805348163,0.0317969494432367,54.45544554455446
Caro (1.5 a 2.5),233,0.5074091296213055,0.3726801079397601,0.0295007819987018,52.94117647058824
Muito Caro (>2.5),13,-3.0385722753215,-3.63836666267513,0.0168152078739708,7.6923076923076925
