Ticker,Best BB Dev,Sharpe Medio,Sharpe Std Dev,Pct Parametros Positivos (%),Fator de Estabilidade,Num Parametros Testados
CMIG4.SA,"(np.int64(200), np.float64(0.25))",-0.1316,0.0795,7.6923,-1.6555,13
RENT3.SA,"(np.int64(200), np.float64(0.49999999999999994))",-0.1664,0.0895,0.0000,-1.8604,13
CVCB3.SA,"(np.int64(200), np.float64(0.5999999999999999))",-0.5938,0.2516,0.0000,-2.3607,13
ALOS3.SA,"(np.int64(200), np.float64(0.2))",-0.5026,0.1913,0.0000,-2.6266,13
NZDUSD=X,"(np.int64(200), np.float64(0.6499999999999999))",-0.1949,0.0741,0.0000,-2.6310,13
SHIB-USD,"(np.int64(200), np.float64(0.44999999999999996))",-0.4053,0.1531,0.0000,-2.6478,13
MRVE3.SA,"(np.int64(200), np.float64(0.7))",-0.3081,0.1130,0.0000,-2.7265,13
HAPV3.SA,"(np.int64(200), np.float64(0.5499999999999999))",-0.4240,0.1513,0.0000,-2.8020,13
FLRY3.SA,"(np.int64(200), np.float64(0.39999999999999997))",-0.1804,0.0625,0.0000,-2.8865,13
LWSA3.SA,"(np.int64(200), np.float64(0.2))",-0.3427,0.1113,0.0000,-3.0796,13
GBPUSD=X,"(np.int64(200), np.float64(0.35))",-0.2045,0.0659,0.0000,-3.1013,13
AUDUSD=X,"(np.int64(200), np.float64(0.7999999999999998))",-0.3941,0.1121,0.0000,-3.5172,13
USDCHF=X,"(np.int64(200), np.float64(0.5499999999999999))",-0.2535,0.0691,0.0000,-3.6659,13
COGN3.SA,"(np.int64(200), np.float64(0.49999999999999994))",-0.4424,0.0884,0.0000,-5.0066,13
DOT-USD,"(np.int64(200), np.float64(0.7499999999999998))",-0.5928,0.1133,0.0000,-5.2300,13
