ticker,regime,return,win,reason,days_held,date_entry,date_exit,hurst_entrada,entropy_entrada,halflife_entrada,sinal_tipo,phase,window
CVCB3.SA,BEAR_CALM,-0.05536671219799074,0,HARD_STOP,1,2023-09-20,2023-09-21,-0.7687899084382294,-0.3761709792155317,15.045422581555098,PRICE,TRAIN,2023-04-08_2023-10-08
CVCB3.SA,BEAR_CALM,-0.0053666625274553445,0,STOP_TECNICO,7,2023-09-26,2023-10-03,-0.46403760292841556,-0.5657877841248892,9.8909034623848,PRICE,TRAIN,2023-04-08_2023-10-08
ELET3.SA,BEAR_CALM,-0.007743454446612973,0,TIME_STOP,21,2023-08-15,2023-09-05,-0.9406583756949493,-1.0427829537997435,7.042622347158404,PRICE,TRAIN,2023-04-08_2023-10-08
ELET3.SA,BEAR_CALM,-0.004869099523376684,0,TIME_STOP,14,2023-09-19,2023-10-03,-1.3605757849684699,-2.120369486589543,7.462348216639021,PRICE,TRAIN,2023-04-08_2023-10-08
ENEV3.SA,SIDEWAYS_CALM,-0.026798635403053404,0,TIME_STOP,12,2023-09-13,2023-09-25,-1.2767664580378921,-0.25004698603747116,5.389125026322995,PRICE,TRAIN,2023-04-08_2023-10-08
FLRY3.SA,SIDEWAYS_CALM,0.043596541736825235,1,SIGNAL,11,2023-09-14,2023-09-25,0.23305241209428904,0.37645305879938046,13.29476843479996,PRICE,TRAIN,2023-04-08_2023-10-08
HYPE3.SA,BEAR_CALM,-0.031042053477412755,0,END_CLOSED,9,2023-09-27,2023-10-06,0.5808988984865363,-0.8946455685689791,34.30961849152067,PRICE,TRAIN,2023-04-08_2023-10-08
LREN3.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,2,2023-09-19,2023-09-21,-1.1485531841129888,-0.4939101650139934,23.370987445634892,PRICE,TRAIN,2023-04-08_2023-10-08
LWSA3.SA,SIDEWAYS_CALM,-0.051200000000000044,0,HARD_STOP,1,2023-08-14,2023-08-15,-0.3697957223454011,-0.07033523041724603,10.694214543830151,PRICE,TRAIN,2023-04-08_2023-10-08
LWSA3.SA,SIDEWAYS_CALM,0.00880000000000001,1,STOP_TECNICO,14,2023-08-25,2023-09-08,-2.0598817130800096,0.8236974903353644,17.033620278786376,PRICE,TRAIN,2023-04-08_2023-10-08
RDOR3.SA,SIDEWAYS_CALM,-0.051200000000000044,0,HARD_STOP,2,2023-09-20,2023-09-22,0.9428155594321866,-1.391403029719608,34.30961849152067,PRICE,TRAIN,2023-04-08_2023-10-08
RECV3.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,10,2023-09-25,2023-10-05,-1.7194179782500303,0.26194446391803006,6.236759389339871,PRICE,TRAIN,2023-04-08_2023-10-08
SANB11.SA,SIDEWAYS_CALM,-0.04376107849406132,0,TIME_STOP,13,2023-08-08,2023-08-21,0.39744576278130145,-0.48964227872512106,8.408852863576383,PRICE,TRAIN,2023-04-08_2023-10-08
SANB11.SA,BEAR_CALM,-0.008690362394357852,0,TIME_STOP,12,2023-09-06,2023-09-18,-0.07945737313315487,0.3949314810488051,29.095920485623306,PRICE,TRAIN,2023-04-08_2023-10-08
SANB11.SA,BEAR_CALM,0.06215554238683572,1,END_CLOSED,9,2023-09-27,2023-10-06,-0.8880896332747522,0.6074680427950633,15.304873142087256,PRICE,TRAIN,2023-04-08_2023-10-08
TOTS3.SA,BEAR_CALM,0.06210027822203577,1,BEAR_OPTIMIZED,34,2023-08-11,2023-09-14,-0.6426430054296699,-1.691189897432038,1.6886472808568915,PRICE,TRAIN,2023-04-08_2023-10-08
USIM5.SA,SIDEWAYS_CALM,-0.0197449184397245,0,TIME_STOP,11,2023-08-10,2023-08-21,0.2341019028489991,-1.7808891433326897,2.911855220828316,PRICE,TRAIN,2023-04-08_2023-10-08
USIM5.SA,BEAR_CALM,-0.008467468017784884,0,TIME_STOP,11,2023-08-28,2023-09-08,-0.34872678125790685,0.6008535298397514,6.475041116989207,PRICE,TRAIN,2023-04-08_2023-10-08
USIM5.SA,BEAR_CALM,-0.027866603331525817,0,TIME_STOP,13,2023-09-19,2023-10-02,-0.9955319946423321,0.5308074746278231,7.4303477188763765,PRICE,TRAIN,2023-04-08_2023-10-08
ABEV3.SA,BEAR_CALM,-0.055273612637107526,0,HARD_STOP,11,2023-09-11,2023-09-22,-1.4473445767265014,0.6129506484399553,15.528896295459738,PRICE,TRAIN,2023-05-08_2023-11-08
ABEV3.SA,BEAR_CALM,-0.05553973025063543,0,HARD_STOP,8,2023-10-10,2023-10-18,-1.0958318519052568,0.44920123085639596,24.83190298394632,PRICE,TRAIN,2023-05-08_2023-11-08
ABEV3.SA,BEAR_CALM,0.08722441339550055,1,END_CLOSED,14,2023-10-25,2023-11-08,-2.2332224688292395,-0.8146987561800972,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
